"","elife_institution","THE_rank"
"3523","Erasmus MC University Medical Center Rotterdam","Standard/Unranked/Unknown"
"3524","Hubrecht Institute-KNAW","Standard/Unranked/Unknown"
"3525","Leiden University Medical Center","Standard/Unranked/Unknown"
"3526","AMOLF","Standard/Unranked/Unknown"
"3527","Kavli Institute of Nanoscience, Delft University of Technology","Standard/Unranked/Unknown"
"3528","Radboud University, Institute for Water and Wetland Research","Standard/Unranked/Unknown"
"3529","Radboud Institute for Molecular Life Sciences, Radboud University Medical Center","Standard/Unranked/Unknown"
"3530","Laboratoire des Systèmes Perceptifs, CNRS UMR 8248","Standard/Unranked/Unknown"
"3531","The Netherlands Cancer Institute","Standard/Unranked/Unknown"
"3532","VU university","Standard/Unranked/Unknown"
"3533","VU University Medical Center","Standard/Unranked/Unknown"
"3534","Donders Institute for Brain, Cognition and Behaviour","Standard/Unranked/Unknown"
"3535","Erasmus MC","Standard/Unranked/Unknown"
"3536","ErasmusMC-Sophia Children's Hospital","Standard/Unranked/Unknown"
"3537","Hubrecht Institute","Standard/Unranked/Unknown"
"3538","Netherlands Cancer Institute","Standard/Unranked/Unknown"
"3539","Cleveland Clinic and Case Western Reserve University","Standard/Unranked/Unknown"
"3540","The Netherlands Institute for Neuroscience, Royal Netherlands Academy of Arts and Sciences","Standard/Unranked/Unknown"
"3541","University Medical Center Groningen","Standard/Unranked/Unknown"
"3542","Nordic EMBL Partnership University of Oslo","Standard/Unranked/Unknown"
"3543","University of Tromsø - The Artic University of Norway","Standard/Unranked/Unknown"
"3544","Institute of Marine Research","Standard/Unranked/Unknown"
"3545","Oslo University Hospital, The Norwegian Radium Hospital","Standard/Unranked/Unknown"
"3546","Nencki Institute of Experimental Biology","Standard/Unranked/Unknown"
"3547","Institute of Biochemistry and Biophysics Polish Academy of Sciences","Standard/Unranked/Unknown"
"3548","Nencki Institute","Standard/Unranked/Unknown"
"3549","Institute of Bioorganic Chemistry, Polish Academy of Sciences","Standard/Unranked/Unknown"
"3550","Instituto Gulbenkian de Ciência","Standard/Unranked/Unknown"
"3551","i3S, Instituto de Investigação e Inovação em Saúde, Universidade do Porto","Standard/Unranked/Unknown"
"3552","Champalimaud Foundation","Standard/Unranked/Unknown"
"3553","ICBAS - ICBAS, Biomedical Sciences Institute Abel Salazar","Standard/Unranked/Unknown"
"3554","Instituto de Medicina Molecular","Standard/Unranked/Unknown"
"3555","Faculty of Sciences of the University of Lisboa","Standard/Unranked/Unknown"
"3556","Faculty of Sciences, University of Lisboa","Standard/Unranked/Unknown"
"3557","CEDOC, Chronic Diseases Research Centre, NOVA Medical School, Universidade Nova de Lisboa","Standard/Unranked/Unknown"
"3558","Faculdade de Medicina da Universidade de Lisboa","Standard/Unranked/Unknown"
"3559","Instituto de Tecnologia Química e Biológica, Universidade Nova de Lisboa (ITQB-UNL)","Standard/Unranked/Unknown"
"3560","Yonsei University College of Medicine","Standard/Unranked/Unknown"
"3561","Shemyakin-Ovchinnikov Institute of Bioorganic Chemistry RAS","Standard/Unranked/Unknown"
"3562","Shemyakin-Ovchinnikov Institute of Bioorganic Chemistry, Russian Academy of Sciences","Standard/Unranked/Unknown"
"3563","Institute of Molecular and Cellular Biology SB RAS","Standard/Unranked/Unknown"
"3564","King Abdullah University of Science and Technology","Standard/Unranked/Unknown"
"3565","Singapore Institute for Clinical Sciences","Standard/Unranked/Unknown"
"3566","Lee Kong Chian School of Medicine","Standard/Unranked/Unknown"
"3567","Duke-NUS Graduate Medical School","Standard/Unranked/Unknown"
"3568","Institute of Medical Biology","Standard/Unranked/Unknown"
"3569","Bioinformatics Institute","Standard/Unranked/Unknown"
"3570","Temasek Life Sciences Laboratory","Standard/Unranked/Unknown"
"3571","Institute of Molecular and Cell Biology","Standard/Unranked/Unknown"
"3572","Singapore Immunology Network (A*STAR)","Standard/Unranked/Unknown"
"3573","Singapore University of Technology and Design","Standard/Unranked/Unknown"
"3574","Faculty of Medicine, University of Ljubljana","Standard/Unranked/Unknown"
"3575","National Institute of Chemistry Slovenia","Standard/Unranked/Unknown"
"3576","Cold Spring Harbor Laboratory","Standard/Unranked/Unknown"
"3577","Africa Health Research Institute","Standard/Unranked/Unknown"
"3578","Consiglio Nazionale delle Ricerche and University of Padova","Standard/Unranked/Unknown"
"3579","Spanish National Cardiovascular Centre (CNIC)","Standard/Unranked/Unknown"
"3580","Universidad de Granada","Standard/Unranked/Unknown"
"3581","Institut Hospital del Mar d'Investigacions Mèdiques","Standard/Unranked/Unknown"
"3582","IBEC Barcelona","Standard/Unranked/Unknown"
"3583","Spanish National Cancer Centre - CNIO","Standard/Unranked/Unknown"
"3584","CABIMER, Universidad de Sevilla","Standard/Unranked/Unknown"
"3585","Cajal Institute","Standard/Unranked/Unknown"
"3586","Centro Andaluz de Biología del Desarrollo","Standard/Unranked/Unknown"
"3587","CIC biomaGUNE","Standard/Unranked/Unknown"
"3588","Consejo Superior de Investigaciones Científicas","Standard/Unranked/Unknown"
"3589","CSIC-UPV","Standard/Unranked/Unknown"
"3590","Hospital del Mar Research Institute, Universitat Pompeu Fabra","Standard/Unranked/Unknown"
"3591","Spanish National Cancer Research Centre","Standard/Unranked/Unknown"
"3592","Universitat de València","Standard/Unranked/Unknown"
"3593","Center for Genomic Regulation","Standard/Unranked/Unknown"
"3594","Centro Nacional de Investigaciones Cardiovasculares","Standard/Unranked/Unknown"
"3595","Centre for Genomic Regulation","Standard/Unranked/Unknown"
"3596","Research Center ""Principe Felipe ""","Standard/Unranked/Unknown"
"3597","iswc","Standard/Unranked/Unknown"
"3598","CNIO","Standard/Unranked/Unknown"
"3599","Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS)","Standard/Unranked/Unknown"
"3600","Institute for Research in Biomedicine","Standard/Unranked/Unknown"
"3601","Parc Cientific de Barcelona","Standard/Unranked/Unknown"
"3602","Biodonostia Health Research Institute","Standard/Unranked/Unknown"
"3603","Center for Cooperative Research in Biosciences","Standard/Unranked/Unknown"
"3604","Centro de Biología Molecular Severo Ochoa (CSIC-UAM). Universidad Autónoma de Madrid","Standard/Unranked/Unknown"
"3605","Centro de Investigaciones Biológicas, CSIC","Standard/Unranked/Unknown"
"3606","CRG","Standard/Unranked/Unknown"
"3607","unaffiliated","Standard/Unranked/Unknown"
"3608","IDIBELL-Universitat de Barcelona","Standard/Unranked/Unknown"
"3609","IIBB/CSIC/IDIBAPS/CIBERNED","Standard/Unranked/Unknown"
"3610","Institut Català de Ciències del Clima","Standard/Unranked/Unknown"
"3611","Institut de Biologia Molecular de Barcelona (IBMB-CSIC)","Standard/Unranked/Unknown"
"3612","Institute for Research in Biomedicine (IRB Barcelona), The Barcelona Institute of Science and Technology","Standard/Unranked/Unknown"
"3613","Institute of Infection, Immunity and Inflammation, College of Medical, Veterinary and Life Sciences, University of Glasgow","Standard/Unranked/Unknown"
"3614","National Centre for Biotechnology","Standard/Unranked/Unknown"
"3615","Spanish National Biotechnology Centre","Standard/Unranked/Unknown"
"3616","Universidad Complutense","Standard/Unranked/Unknown"
"3617","Universidad Complutense de Madrid - Instituto de Geociencias","Standard/Unranked/Unknown"
"3618","Universidad de Murcia","Standard/Unranked/Unknown"
"3619","Universidad Politecnica de Madrid","Standard/Unranked/Unknown"
"3620","Universitat de Barcelona","Standard/Unranked/Unknown"
"3621","Universidad Autónoma de Madrid","Standard/Unranked/Unknown"
"3622","UB-IDIBELL","Standard/Unranked/Unknown"
"3623","Institut de Biologia Evolutiva (CSIC-Universitat Pompeu Fabra)","Standard/Unranked/Unknown"
"3624","Centro de Biología Molecular Severo Ochoa","Standard/Unranked/Unknown"
"3625","Molecular Biology Institute of Barcelona (IBMB) CSIC","Standard/Unranked/Unknown"
"3626","Institute for Research in Biomedicine (IRB)","Standard/Unranked/Unknown"
"3627","Genome Institute of Singapore","Standard/Unranked/Unknown"
"3628","The Hospital for Tropical Diseases","Standard/Unranked/Unknown"
"3629","Sahlgrenska Academy at the University of Gothenburg","Standard/Unranked/Unknown"
"3630","Science for Life Laboratory, KTH","Standard/Unranked/Unknown"
"3631","SLU/Umeå Plant Science Center","Standard/Unranked/Unknown"
"3632","Stem Cell Center, Lund University","Standard/Unranked/Unknown"
"3633","ETHZ","Standard/Unranked/Unknown"
"3634","Institute of Anatomy","Standard/Unranked/Unknown"
"3635","Biozentrum der Universität Basel","Standard/Unranked/Unknown"
"3636","Eidgenössische Technische Hochschule Zürich","Standard/Unranked/Unknown"
"3637","Ecole Polytechnique Federale de Lausanne","Standard/Unranked/Unknown"
"3638","Bern University Hospital","Standard/Unranked/Unknown"
"3639","Max-Delbrück-Center for Molecular Medicine","Standard/Unranked/Unknown"
"3640","Friedrich Miescher Institute for Biomedical Research","Standard/Unranked/Unknown"
"3641","Institute of Pharmacology and Toxicology, University of Zürich","Standard/Unranked/Unknown"
"3642","Novartis","Standard/Unranked/Unknown"
"3643","Swiss Federal Institute of Technology","Standard/Unranked/Unknown"
"3644","EPFL","Standard/Unranked/Unknown"
"3645","Swiss Federal Institute of Technology in Zurich","Standard/Unranked/Unknown"
"3646","Institute of Molecular Biology and Biophysics, ETH Zurich","Standard/Unranked/Unknown"
"3647","Novartis Institute for BioMedical Research","Standard/Unranked/Unknown"
"3648","Swiss Tropical and Public Health Institute","Standard/Unranked/Unknown"
"3649","Swiss Federal Institute of Technology Lausanne (EPFL)","Standard/Unranked/Unknown"
"3650","Swiss Federal Institute of Technology, ETH Zürich","Standard/Unranked/Unknown"
"3651","University Hospital Zurich","Standard/Unranked/Unknown"
"3652","MRC Laboratory of Molecular Biology","Standard/Unranked/Unknown"
"3653","Academia Sinica","Standard/Unranked/Unknown"
"3654","Biodiversity Research Center, Academia Sinica","Standard/Unranked/Unknown"
"3655","College of Medicine, National Cheng Kung University","Standard/Unranked/Unknown"
"3656","College of Medicine, National Taiwan University","Standard/Unranked/Unknown"
"3657","Institute of Biomedical Sciences","Standard/Unranked/Unknown"
"3658","Life Science","Standard/Unranked/Unknown"
"3659","Institute of Molecular Biology, Academia Sinica","Standard/Unranked/Unknown"
"3660","National Health Research Institutes","Standard/Unranked/Unknown"
"3661","Babraham Institute","Standard/Unranked/Unknown"
"3662","Wellcome Trust and Medical Research Council Stem Cell Institute, University of Cambridge","Standard/Unranked/Unknown"
"3663","Cambridge Institute for Medical Research","Standard/Unranked/Unknown"
"3664","MRC Human Genetics Unit. Institute of Genetics and Molecular Medicine. University of Edinburgh","Standard/Unranked/Unknown"
"3665","School of Biological Sciences, University of Edinburgh","Standard/Unranked/Unknown"
"3666","The Francis Crick Institute & University College London Institute of Neurology","Standard/Unranked/Unknown"
"3667","Marine Biological Association","Standard/Unranked/Unknown"
"3668","Wellcome Trust - Medical Research Council Stem Cell Institute","Standard/Unranked/Unknown"
"3669","Wellcome Trust Sanger Institute","Standard/Unranked/Unknown"
"3670","Wellcome Trust/Cancer Research UK Gurdon Institute","Standard/Unranked/Unknown"
"3671","Barts and The London School of Medicine and Dentistry","Standard/Unranked/Unknown"
"3672","Earlham Institute & John Innes Centre","Standard/Unranked/Unknown"
"3673","Francis Crick Institute","Standard/Unranked/Unknown"
"3674","Warwick Medical School","Standard/Unranked/Unknown"
"3675","Birkbeck College","Standard/Unranked/Unknown"
"3676","John Innes Centre","Standard/Unranked/Unknown"
"3677","Medical Research Council","Standard/Unranked/Unknown"
"3678","MRC Laboratory of Molecular Biology,","Standard/Unranked/Unknown"
"3679","Rothamsted Research","Standard/Unranked/Unknown"
"3680","Institute for Cardiovascular Organogenesis and Regeneration","Standard/Unranked/Unknown"
"3681","Wellcome Trust Centre for Human Genetics","Standard/Unranked/Unknown"
"3682","Children's Hospital of Los Angeles","Standard/Unranked/Unknown"
"3683","CRUK MI","Standard/Unranked/Unknown"
"3684","MRC National Institute for Medical Research","Standard/Unranked/Unknown"
"3685","Institute of Psychiatry, Psychology and Neuroscience, King's College London","Standard/Unranked/Unknown"
"3686","Medical Research Council Laboratory of Molecular Biology","Standard/Unranked/Unknown"
"3687","MRC Clinical Sciences Centre","Standard/Unranked/Unknown"
"3688","MRC IGMM","Standard/Unranked/Unknown"
"3689","Rijks Universiteit Groningen","Standard/Unranked/Unknown"
"3690","The Babraham Institute","Standard/Unranked/Unknown"
"3691","Univesrity of Cambridge","Standard/Unranked/Unknown"
"3692","DZNE Magdeburg","Standard/Unranked/Unknown"
"3693","Norwegian Institute of Public Health","Standard/Unranked/Unknown"
"3694","Cancer Research UK Beatson Institute","Standard/Unranked/Unknown"
"3695","Centre for Bacterial Cell Biology","Standard/Unranked/Unknown"
"3696","EMBL-EBI and Wellcome Trust Sanger Institute","Standard/Unranked/Unknown"
"3697","Institute of Cancer Research","Standard/Unranked/Unknown"
"3698","Laboratory of Molecular Biology","Standard/Unranked/Unknown"
"3699","Medical Research Council Cognition and Brain Sciences Unit","Standard/Unranked/Unknown"
"3700","Medical Research Council National Institute for Medical Research","Standard/Unranked/Unknown"
"3701","Medical Research Council,  Institute of Genetics and Molecular Medicine","Standard/Unranked/Unknown"
"3702","MRC Centre for Regenerative Medicine, Institute for Stem Cell Research","Standard/Unranked/Unknown"
"3703","MRC Human Genetics Unit, MRC IGMM","Standard/Unranked/Unknown"
"3704","Medical Research Council - Laboratory of Molecular Biology","Standard/Unranked/Unknown"
"3705","MRC Laboratory of Molecular Biology, Cambridge","Standard/Unranked/Unknown"
"3706","MRC LMB Cambridge","Standard/Unranked/Unknown"
"3707","MRC London Institute of Medical Sciences","Standard/Unranked/Unknown"
"3708","Roslin Institute, University of Edinburgh","Standard/Unranked/Unknown"
"3709","School of Biosciences","Standard/Unranked/Unknown"
"3710","The Francis Crick Institute Mill Hill Laboratory","Standard/Unranked/Unknown"
"3711","The University of Cambridge Metabolic Research Laboratories","Standard/Unranked/Unknown"
"3712","University of Durham","Standard/Unranked/Unknown"
"3713","Brigham and Women's Hospital & Harvard Medical School","Standard/Unranked/Unknown"
"3714","Universidade Federal do ABC","Standard/Unranked/Unknown"
"3715","Wolfson CARD","Standard/Unranked/Unknown"
"3716","University of Oxford, The Peter Medawar Building for Pathogen Research","Standard/Unranked/Unknown"
"3717","Wellcome Trust Centre for Cell Biology","Standard/Unranked/Unknown"
"3718","St. Jude Children's Research Hospital","Standard/Unranked/Unknown"
"3719","Wellcome Trust Sanger Institue","Standard/Unranked/Unknown"
"3720","Medical Research Council Human Nutrition Research","Standard/Unranked/Unknown"
"3721","Children's National Medical Center","Standard/Unranked/Unknown"
"3722","Lawrence Berkeley National Laboratory","Standard/Unranked/Unknown"
"3723","Reed College","Standard/Unranked/Unknown"
"3724","Boston Children's Hospital","Standard/Unranked/Unknown"
"3725","Brigham & Women's Hospital","Standard/Unranked/Unknown"
"3726","Howard Hughes Medical Institute, Salk Institute for Biological Studies","Standard/Unranked/Unknown"
"3727","Institute for Health Metrics and Evaluation","Standard/Unranked/Unknown"
"3728","Howard Hughes Medical Institute, Ludwig Center","Standard/Unranked/Unknown"
"3729","Joint BioEnergy Institute, Lawrence Berkeley National Laboratory","Standard/Unranked/Unknown"
"3730","Massachusetts General Hospital, Harvard Medical School","Standard/Unranked/Unknown"
"3731","Mayo Clinic","Standard/Unranked/Unknown"
"3732","National Institute of Environmental Health Sciences","Standard/Unranked/Unknown"
"3733","NCI","Standard/Unranked/Unknown"
"3734","Eunice Kennedy Shriver National Institute of Child Health and Human Development","Standard/Unranked/Unknown"
"3735","Sanford-Burnham Medical Research Institute","Standard/Unranked/Unknown"
"3736","Seattle Children's Research Institute","Standard/Unranked/Unknown"
"3737","The Howard Hughes Medical Institute and The Jackson Laboratory","Standard/Unranked/Unknown"
"3738","Scripps Research Institute","Standard/Unranked/Unknown"
"3739","UNMC","Standard/Unranked/Unknown"
"3740","Brigham and Women's Hospital, Harvard Medical School","Standard/Unranked/Unknown"
"3741","Cabot Corporation","Standard/Unranked/Unknown"
"3742","Brigham and Women's Hospital","Standard/Unranked/Unknown"
"3743","Lerner Research Institute, Cleveland Clinic","Standard/Unranked/Unknown"
"3744","Sanford Burnham Prebys Medical Discovery Institute","Standard/Unranked/Unknown"
"3745","UMass Medical School","Standard/Unranked/Unknown"
"3746","Dana-Farber Cancer Institute","Standard/Unranked/Unknown"
"3747","Fox Chase Cancer Center","Standard/Unranked/Unknown"
"3748","Temple University School of Medicine","Standard/Unranked/Unknown"
"3749","Texas A&M Health Science Center","Standard/Unranked/Unknown"
"3750","College of Physicians and Surgeons of Columbia University","Standard/Unranked/Unknown"
"3751","Gladstone Institutes","Standard/Unranked/Unknown"
"3752","Jefferson Medical College","Standard/Unranked/Unknown"
"3753","MBL","Standard/Unranked/Unknown"
"3754","Miller School of Medicine, University of Miami","Standard/Unranked/Unknown"
"3755","National Cancer Institute","Standard/Unranked/Unknown"
"3756","Salk Institute for Biological Studies","Standard/Unranked/Unknown"
"3757","University of Missouri-Columbia","Standard/Unranked/Unknown"
"3758","Weill Cornell Medical College","Standard/Unranked/Unknown"
"3759","Cincinnati Children's Hospital Medical Center","Standard/Unranked/Unknown"
"3760","National Institute of Allergy and Infectious Diseases","Standard/Unranked/Unknown"
"3761","Center for Systems Biology Dresden","Standard/Unranked/Unknown"
"3762","Howard Hughes Medical Institute, Fred Hutchinson Cancer Research Center","Standard/Unranked/Unknown"
"3763","Howard Hughes Medical Institute, Whitehead Institute for Biomedical Research, Massachusetts Institute of Technology","Standard/Unranked/Unknown"
"3764","Life Sciences institute","Standard/Unranked/Unknown"
"3765","MDI Biological Laboratory","Standard/Unranked/Unknown"
"3766","Medical University of South Carolina","Standard/Unranked/Unknown"
"3767","Swedish Museum of Natural History","Standard/Unranked/Unknown"
"3768","NIAMS-NIH","Standard/Unranked/Unknown"
"3769","Skirball Institute of Biomolecular Medicine, New York University Medical Center","Standard/Unranked/Unknown"
"3770","SUNY Upstate Medical University","Standard/Unranked/Unknown"
"3771","Broad Institute of Massachusetts Institute of Technology and Harvard","Standard/Unranked/Unknown"
"3772","The Salk Institute for Biological Studies","Standard/Unranked/Unknown"
"3773","The Scripps Research Institute","Standard/Unranked/Unknown"
"3774","Instituto Cajal","Standard/Unranked/Unknown"
"3775","University of Missouri","Standard/Unranked/Unknown"
"3776","University of Utah Health Sciences Center","Standard/Unranked/Unknown"
"3777","Univesity of California Davis","Standard/Unranked/Unknown"
"3778","Centre d'Etudes Biologiques de Chizé (CNRS)","Standard/Unranked/Unknown"
"3779","Whitehead Institute for Biomedical Research","Standard/Unranked/Unknown"
"3780","Caltech","Standard/Unranked/Unknown"
"3781","Thomas Jefferson University","Standard/Unranked/Unknown"
"3782","Janelia Farm Research Campus / HHMI","Standard/Unranked/Unknown"
"3783","Sloan Kettering Institute","Standard/Unranked/Unknown"
"3784","St. Jude Childrens' Research Hospital","Standard/Unranked/Unknown"
"3785","SUNY Downstate Medical Center","Standard/Unranked/Unknown"
"3786","Janelia Research Campus","Standard/Unranked/Unknown"
"3787","Univeristy of California, Los Angeles","Standard/Unranked/Unknown"
"3788","University of Nevada, Reno","Standard/Unranked/Unknown"
"3789","Harvard T.H. Chan School of Public Health","Standard/Unranked/Unknown"
"3790","School of Medicine, University of Pittsburgh","Standard/Unranked/Unknown"
"3791","University of Puerto Rico Medical Sciences Campus","Standard/Unranked/Unknown"
"3792","Harvard Stem Cell Institute, Harvard University","Standard/Unranked/Unknown"
"3793","Loyola University Chicago","Standard/Unranked/Unknown"
"3794","National Institute of Neurological Disorders and Stroke, National Institutes of Health","Standard/Unranked/Unknown"
"3795","Houston Methodist Research Institute","Standard/Unranked/Unknown"
"3796","University of Arkansas for Medical Sciences","Standard/Unranked/Unknown"
"3797","Los Alamos National Laboratory","Standard/Unranked/Unknown"
"3798","Surgo Foundation","Standard/Unranked/Unknown"
"3799","Beth Israel Deaconess Medical Center","Standard/Unranked/Unknown"
"3800","THMRI","Standard/Unranked/Unknown"
"3801","Harvard T. H. Chan School of Public Health","Standard/Unranked/Unknown"
"3802","Ludwig Institute for Cancer Research, University of California, San Diego","Standard/Unranked/Unknown"
"3803","The Children's Hospital of Philadelphia","Standard/Unranked/Unknown"
"3804","Calico Life Sciences","Standard/Unranked/Unknown"
"3805","Carnegie Institution for Science","Standard/Unranked/Unknown"
"3806","Center for Cancer Research, NCI, NIH","Standard/Unranked/Unknown"
"3807","Center for Infectious Disease Research","Standard/Unranked/Unknown"
"3808","Dietrich School of Arts and Sciences, University of Pittsburgh","Standard/Unranked/Unknown"
"3809","Donald Danforth Plant Science Center","Standard/Unranked/Unknown"
"3810","Weill Cornell Graduate School of Medical Sciences","Standard/Unranked/Unknown"
"3811","Queens College of the City University of New York","Standard/Unranked/Unknown"
"3812","Regeneron Pharmaceuticals Inc.","Standard/Unranked/Unknown"
"3813","Ursa Analytics","Standard/Unranked/Unknown"
"3814","Yale School of Public Health","Standard/Unranked/Unknown"
"3815","Harvard TH Chan School of Public Health","Standard/Unranked/Unknown"
"3816","University of Exeter Cornwall Campus","Standard/Unranked/Unknown"
"3817","Beth Israel Deaconess Medical Center, Harvard Medical School","Standard/Unranked/Unknown"
"3818","Boston Children's Hospital, Harvard Medical School","Standard/Unranked/Unknown"
"3819","Calico LLC","Standard/Unranked/Unknown"
"3820","Howard Hughes Medical Institute, Carnegie Institution for Science","Standard/Unranked/Unknown"
"3821","Howard Hughes Medical Institute-The Salk Institute for Biological Studies","Standard/Unranked/Unknown"
"3822","Janelia Farm Research Campus, Howard Hughes Medical Institute","Standard/Unranked/Unknown"
"3823","Laboratory of Cellular and Developmental Biology, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health","Standard/Unranked/Unknown"
"3824","Children's Hospital Los Angeles","Standard/Unranked/Unknown"
"3825","Medical College of Wisconsin","Standard/Unranked/Unknown"
"3826","National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health","Standard/Unranked/Unknown"
"3827","National Institute on Aging/National Institutes of Health","Standard/Unranked/Unknown"
"3828","National Resource for Automated Molecular Microscopy, The Scripps Research Institute","Standard/Unranked/Unknown"
"3829","Institute for Stem Cell Biology and Regenerative Medicine","Standard/Unranked/Unknown"
"3830","UMASS Medical School","Standard/Unranked/Unknown"
"3831","UNC-Chapel Hill","Standard/Unranked/Unknown"
"3832","Armed Forces Health Surveillance Branch","Standard/Unranked/Unknown"
"3833","University of Wyoming","Standard/Unranked/Unknown"
"3834","Whitehead Institute","Standard/Unranked/Unknown"
"3835","Wistar Institute","Standard/Unranked/Unknown"
"3836","Lovely Professional University, India","Standard/Unranked/Unknown"
"3837","Pfizer, Inc.","Standard/Unranked/Unknown"
"3838","Brooklyn College of the City University of New York","Standard/Unranked/Unknown"
"3839","Aelan Cell Technologies","Standard/Unranked/Unknown"
"3840","Feinberg School of Medicine, Northwestern University","Standard/Unranked/Unknown"
"3841","University of Iowa Carver College of Medicine","Standard/Unranked/Unknown"
"3842","National Cancer Institute, National Institutes of Health","Standard/Unranked/Unknown"
"3843","Allen Institute for Brian Science","Standard/Unranked/Unknown"
"3844","Allen Institute for Brain Science","Standard/Unranked/Unknown"
"3845","Beth Israel Deaconess Medical Center / Harvard Medical School","Standard/Unranked/Unknown"
"3846","Biogen Idec","Standard/Unranked/Unknown"
"3847","Boston Children's Hospital and Harvard Medical School","Standard/Unranked/Unknown"
"3848","Boston Children's Hospital/Harvard Medical School","Standard/Unranked/Unknown"
"3849","Sintica Systems","Standard/Unranked/Unknown"
"3850","Brigham and Women's Hospital-Harvard","Standard/Unranked/Unknown"
"3851","Swiss Federal Institute of Technology (EPFL)","Standard/Unranked/Unknown"
"3852","Buck Institute For Research On Aging","Standard/Unranked/Unknown"
"3853","Calico Life Sciences, LLC","Standard/Unranked/Unknown"
"3854","Carnegie Institution","Standard/Unranked/Unknown"
"3855","Center for Cancer Research, National Cancer Institute","Standard/Unranked/Unknown"
"3856","Center for the Neural Basis of Cognition","Standard/Unranked/Unknown"
"3857","Centers for Disease Control and Prevention","Standard/Unranked/Unknown"
"3858","Children's Hospital Los Angeles, University of Southern California","Standard/Unranked/Unknown"
"3859","City College of the City University of New York","Standard/Unranked/Unknown"
"3860","Institute for Research in Immunology and Cancer - Commercialization of Research","Standard/Unranked/Unknown"
"3861","Cleveland Clinic","Standard/Unranked/Unknown"
"3862","Cleveland Clinic Lerner College of Medicine","Standard/Unranked/Unknown"
"3863","Cold Spring Harbor Laboratory/HHMI","Standard/Unranked/Unknown"
"3864","Cold Spring Harbor Labs","Standard/Unranked/Unknown"
"3865","College of Medicine, University of Kentucky","Standard/Unranked/Unknown"
"3866","Constellation Pharmaceuticals","Standard/Unranked/Unknown"
"3867","D E Shaw Research","Standard/Unranked/Unknown"
"3868","Dana Farber Cancer Institute","Standard/Unranked/Unknown"
"3869","Dana-Farber Cancer Instittue","Standard/Unranked/Unknown"
"3870","Dana-Farber Cancer Institute, Harvard Medical School","Standard/Unranked/Unknown"
"3871","Dartmouth Geisel School of Medicine","Standard/Unranked/Unknown"
"3872","David Geffen School of Medicine at University of California, Los Angeles","Standard/Unranked/Unknown"
"3873","David Geffen School of Medicine, University of California, Los Angeles","Standard/Unranked/Unknown"
"3874","Drexel University College of Medicine","Standard/Unranked/Unknown"
"3875","Duke Institute for Brain Sciences","Standard/Unranked/Unknown"
"3876","Institute of Biophysics， Chinese Academy of Sciences","Standard/Unranked/Unknown"
"3877","Duquesne University","Standard/Unranked/Unknown"
"3878","Rutgers, New Jersey Medical School","Standard/Unranked/Unknown"
"3879","University of Washington / Seattle Children's Hospital","Standard/Unranked/Unknown"
"3880","Univeristy of Oregon","Standard/Unranked/Unknown"
"3881","Genentech","Standard/Unranked/Unknown"
"3882","Genentech, Inc. / Baylor College of Medicine","Standard/Unranked/Unknown"
"3883","American Museum of Natural History","Standard/Unranked/Unknown"
"3884","University Hospital Essen","Standard/Unranked/Unknown"
"3885","HHMI / Stowers Institute for Medical Research","Standard/Unranked/Unknown"
"3886","HHMI / UT Southwestern Medical Center","Standard/Unranked/Unknown"
"3887","HHMI, Yale University","Standard/Unranked/Unknown"
"3888","HHMI/Brandeis University","Standard/Unranked/Unknown"
"3889","Hospital for Special Surgery","Standard/Unranked/Unknown"
"3890","Houston Methodist Research Institute and Houston Methodist Hospital","Standard/Unranked/Unknown"
"3891","Howard Hughes Medical Institute and Institute of Genetic Medicine, Johns Hopkins University School of Medicine","Standard/Unranked/Unknown"
"3892","Howard Hughes Medical Institute, Boston Children's Hospital","Standard/Unranked/Unknown"
"3893","Howard Hughes Medical Institute, Institute for Vision Research, Carver College of Medicine, University of Iowa","Standard/Unranked/Unknown"
"3894","Howard Hughes Medical Institute, Janelia Research Campus","Standard/Unranked/Unknown"
"3895","Howard Hughes Medical Institute, The Salk Institute for Biological Studies","Standard/Unranked/Unknown"
"3896","Howard Hughes Medical Institute, The Scripps Research Institute","Standard/Unranked/Unknown"
"3897","Global Blood Therapeutics","Standard/Unranked/Unknown"
"3898","Institute for Disease Modeling","Standard/Unranked/Unknown"
"3899","Institute of Molecular Biology, University of Oregon","Standard/Unranked/Unknown"
"3900","Jackson Laboratory","Standard/Unranked/Unknown"
"3901","Janelia Research Campus/HHMI","Standard/Unranked/Unknown"
"3902","First Affiliated Hospital, Sun Yat-Sen University","Standard/Unranked/Unknown"
"3903","London Research Institute, Cancer Research UK","Standard/Unranked/Unknown"
"3904","Moss Rehabilitation Research Institute","Standard/Unranked/Unknown"
"3905","Keene State College","Standard/Unranked/Unknown"
"3906","Kimmel Center for Biology and Medicine at the Skirball Institute","Standard/Unranked/Unknown"
"3907","La Jolla Institute For Allergy & Immunology","Standard/Unranked/Unknown"
"3908","Lawrence Berkeley National Laboratory/UC Berkeley","Standard/Unranked/Unknown"
"3909","Lieber Institute for Brain Development","Standard/Unranked/Unknown"
"3910","LSU School of Medicine","Standard/Unranked/Unknown"
